id,a_node,b_node,type_car,type_bike,speed_car,speed_bike,green_overlap_percentage,slope
1,1,2,primary,None,20,15,0,0
2,2,1,primary,None,20,15,0,0
3,1,3,primary,None,20,15,0,0
4,3,1,primary,None,20,15,0,0
5,3,2,primary,None,20,15,0,0
6,2,3,primary,None,20,15,0,0
7,2,5,primary,None,20,15,0,0
8,5,2,primary,None,20,15,0,0
9,3,4,primary,None,20,15,0,0
10,4,3,primary,None,20,15,0,0
11,7,4,primary,None,20,15,0,0
12,4,7,primary,None,20,15,0,0
13,5,6,primary,None,20,15,0,0
14,6,5,primary,None,20,15,0,0
15,5,8,primary,None,20,15,0,0
16,8,5,primary,None,20,15,0,0
17,6,7,primary,None,20,15,0,0
18,7,6,primary,None,20,15,0,0
19,6,9,primary,None,20,15,0,0
20,9,6,primary,None,20,15,0,0
21,7,10,primary,None,20,15,0,0
22,8,9,primary,None,20,15,0,0
23,9,8,primary,None,20,15,0,0
24,8,12,primary,None,20,15,0,0
25,12,8,primary,None,20,15,0,0
26,8,11,primary,None,20,15,0,0
27,11,8,primary,None,20,15,0,0
28,9,11,primary,None,20,15,0,0
29,11,9,primary,None,20,15,0,0
30,14,9,primary,None,20,15,0,0
31,9,14,primary,None,20,15,0,0
32,10,9,primary,None,20,15,0,0
33,9,10,primary,None,20,15,0,0
34,10,15,primary,None,20,15,0,0
35,15,10,primary,None,20,15,0,0
36,10,24,primary,None,20,15,0,0
37,24,10,primary,None,20,15,0,0
38,11,13,primary,None,20,15,0,0
40,13,11,primary,None,20,15,0,0
41,13,12,primary,None,20,15,0,0
42,12,13,primary,None,20,15,0,0
39,12,16,primary,None,20,15,0,0
43,16,12,primary,None,20,15,0,0
44,13,14,,,,,,
45,14,13,,,,,,
46,14,15,,,,,,
47,15,14,,,,,,
48,14,16,,,,,,
49,16,14,,,,,,
50,16,17,,,,,,
51,17,16,,,,,,
52,18,19,,,,,,
53,19,18,,,,,,
54,19,20,,,,,,
55,20,19,,,,,,
56,19,22,,,,,,
57,22,19,,,,,,
58,20,21,,,,,,
59,21,20,,,,,,
60,20,23,,,,,,
61,23,20,,,,,,
62,20,24,,,,,,
63,24,20,,,,,,
64,21,23,,,,,,
65,23,21,,,,,,
66,21,22,,,,,,
67,22,21,,,,,,
68,22,23,,,,,,
69,23,22,,,,,,
70,22,25,,,,,,
71,25,22,,,,,,
72,23,25,,,,,,
73,25,23,,,,,,
74,23,24,,,,,,
75,24,23,,,,,,
76,24,25,,,,,,
77,25,24,,,,,,
78,24,26,,,,,,
79,26,24,,,,,,
80,25,27,,,,,,
81,27,25,,,,,,
82,25,28,,,,,,
83,28,25,,,,,,
84,26,28,,,,,,
85,28,26,,,,,,
86,27,28,,,,,,
87,28,27,,,,,,
88,28,29,,,,,,
89,29,28,,,,,,
90,10,7,,,,,,
